iter	Passed	Remaining
544	8362	6981
545	8395	6981
546	8416	6970
547	8435	6957
548	8457	6947
549	8486	6943
550	8524	6946
551	8567	6953
552	8593	6946
553	8619	6939
554	8646	6932
555	8675	6927
556	8699	6918
557	8717	6904
558	8738	6893
559	8755	6879
560	8774	6866
561	8790	6850
562	8806	6835
563	8823	6821
564	8842	6808
565	8869	6801
566	8897	6794
567	8915	6781
568	8932	6765
569	8949	6751
570	8967	6737
571	8986	6724
572	9003	6709
573	9020	6694
574	9037	6679
575	9057	6667
576	9074	6652
577	9089	6636
578	9105	6620
579	9122	6605
580	9140	6591
581	9155	6575
582	9173	6561
583	9209	6560
584	9237	6553
585	9253	6537
586	9284	6532
587	9300	6516
588	9313	6498
589	9325	6480
590	9337	6462
591	9351	6444
592	9364	6427
593	9378	6410
594	9392	6392
595	9411	6379
596	9425	6362
597	9438	6345
598	9452	6327
599	9465	6310
600	9479	6293
601	9496	6278
602	9511	6262
603	9525	6245
604	9537	6226
605	9550	6209
606	9567	6194
607	9584	6179
608	9599	6163
609	9615	6147
610	9630	6131
611	9644	6114
612	9661	6099
613	9678	6084
614	9693	6068
615	9708	6052
616	9726	6037
617	9743	6022
618	9759	6007
619	9774	5991
620	9788	5974
621	9800	5955
622	9816	5940
623	9830	5923
624	9844	5906
625	9858	5889
626	9872	5873
627	9887	5856
628	9899	5838
629	9912	5821
630	9929	5806
631	9941	5788
632	9954	5771
633	9967	5754
634	9979	5736
635	9993	5719
636	10009	5703
637	10025	5688
638	10041	5673
639	10054	5655
640	10070	5640
641	10089	5626
642	10104	5610
643	10118	5593
644	10133	5577
645	10145	5559
646	10157	5542
647	10173	5526
648	10187	5509
649	10200	5492
650	10214	5475
651	10226	5458
652	10240	5441
653	10254	5425
654	10268	5408
655	10284	5393
656	10295	5375
657	10308	5357
658	10322	5341
659	10338	5325
660	10351	5309
661	10364	5291
662	10376	5274
663	10389	5257
664	10403	5240
665	10418	5224
666	10435	5209
667	10449	5193
668	10460	5175
669	10473	5158
670	10489	5142
671	10506	5127
672	10522	5112
673	10544	5100
674	10558	5083
675	10577	5069
676	10589	5052
677	10603	5035
678	10616	5018
679	10630	5002
680	10647	4987
681	10662	4971
682	10675	4954
683	10689	4938
684	10704	4922
685	10719	4906
686	10736	4891
687	10754	4877
688	10773	4862
689	10794	4849
690	10814	4835
691	10832	4821
692	10846	4805
693	10881	4797
694	10910	4788
695	10943	4779
696	10963	4766
697	10979	4750
698	10995	4734
699	11019	4722
700	11042	4710
701	11055	4692
702	11075	4678
703	11095	4665
704	11127	4656
705	11144	4640
706	11164	4626
707	11187	4613
708	11209	4600
709	11225	4585
710	11244	4570
711	11263	4555
712	11293	4545
713	11320	4534
714	11349	4523
715	11379	4513
716	11396	4498
717	11419	4485
718	11464	4480
719	11499	4471
720	11542	4466
721	11565	4453
722	11595	4442
723	11618	4429
724	11636	4413
725	11654	4398
726	11665	4380
727	11681	4364
728	11694	4347
729	11709	4330
730	11721	4313
731	11732	4295
732	11747	4278
733	11760	4261
734	11773	4244
735	11783	4226
736	11803	4212
737	11825	4198
738	11847	4184
739	11864	4168
740	11880	4152
741	11896	4136
742	11910	4119
743	11924	4103
744	11937	4085
745	11946	4067
746	11961	4051
747	11977	4035
748	11992	4018
749	12010	4003
750	12026	3987
751	12041	3971
752	12059	3955
753	12076	3940
754	12104	3928
755	12128	3914
756	12151	3900
757	12174	3886
758	12191	3870
759	12208	3855
760	12226	3839
761	12242	3823
762	12257	3807
763	12277	3792
764	12307	3780
765	12327	3765
766	12354	3753
767	12371	3737
768	12395	3723
769	12419	3709
770	12441	3695
771	12458	3679
772	12475	3663
773	12493	3648
774	12508	3631
775	12523	3615
776	12543	3599
777	12560	3583
778	12576	3567
779	12593	3552
780	12612	3536
781	12626	3519
782	12642	3503
783	12656	3487
784	12671	3470
785	12685	3453
786	12699	3437
787	12710	3419
788	12721	3402
789	12736	3385
790	12753	3369
791	12768	3353
792	12785	3337
793	12798	3320
794	12810	3303
795	12822	3286
796	12837	3269
797	12850	3252
798	12863	3235
799	12874	3218
800	12886	3201
801	12900	3184
802	12913	3168
803	12925	3150
804	12936	3133
805	12951	3117
806	12969	3101
807	12984	3085
808	13010	3071
809	13024	3055
810	13036	3038
811	13050	3021
812	13065	3005
813	13080	2988
814	13095	2972
815	13110	2956
816	13125	2940
817	13147	2925
818	13170	2910
819	13182	2893
820	13197	2877
821	13210	2860
822	13223	2843
823	13234	2826
824	13249	2810
825	13263	2793
826	13277	2777
827	13293	2761
828	13305	2744
829	13316	2727
830	13329	2710
831	13343	2694
832	13355	2677
833	13370	2661
834	13385	2645
835	13396	2628
836	13411	2611
837	13424	2595
838	13438	2578
839	13450	2562
840	13463	2545
841	13478	2529
842	13494	2513
843	13512	2497
844	13528	2481
845	13543	2465
846	13557	2448
847	13570	2432
848	13582	2415
849	13596	2399
850	13614	2383
851	13627	2367
852	13642	2350
853	13657	2334
854	13673	2318
855	13689	2302
856	13706	2287
857	13720	2270
858	13735	2254
859	13747	2237
860	13767	2222
861	13786	2207
862	13805	2191
863	13818	2175
864	13834	2159
865	13845	2142
866	13857	2125
867	13871	2109
868	13885	2093
869	13903	2077
870	13916	2061
871	13930	2044
872	13942	2028
873	13956	2011
874	13969	1995
875	13987	1979
876	14008	1964
877	14024	1948
878	14048	1933
879	14063	1917
880	14081	1901
881	14094	1885
882	14115	1870
883	14131	1854
884	14149	1838
885	14171	1823
886	14191	1807
887	14217	1793
888	14275	1782
889	14311	1768
890	14340	1754
891	14403	1743
892	14453	1731
893	14499	1719
894	14537	1705
895	14597	1694
896	14648	1682
897	14678	1667
898	14727	1654
899	14784	1642
900	14822	1628
901	14861	1614
902	14891	1599
903	14928	1585
904	14949	1569
905	14964	1552
906	14981	1536
907	14997	1519
908	15023	1504
909	15043	1487
910	15061	1471
911	15090	1456
912	15111	1439
913	15135	1424
914	15159	1408
915	15190	1393
916	15211	1376
917	15232	1360
918	15254	1344
919	15274	1328
920	15292	1311
921	15312	1295
922	15335	1279
923	15358	1263
924	15375	1246
925	15395	1230
926	15413	1213
927	15435	1197
928	15467	1182
929	15490	1165
930	15507	1149
931	15525	1132
932	15546	1116
933	15572	1100
934	15597	1084
935	15615	1067
936	15635	1051
937	15653	1034
938	15671	1018
939	15691	1001
940	15713	985
941	15733	968
942	15752	952
943	15772	935
944	15791	919
945	15812	902
946	15832	886
947	15849	869
948	15867	852
949	15884	836
950	15902	819
951	15920	802
952	15936	785
953	15953	769
954	15972	752
955	15991	736
956	16007	719
957	16023	702
958	16040	685
959	16054	668
960	16078	652
961	16097	635
962	16134	619
963	16154	603
964	16177	586
965	16196	570
966	16213	553
967	16234	536
968	16251	519
969	16269	503
970	16286	486
971	16303	469
972	16320	452
973	16338	436
974	16356	419
975	16369	402
976	16384	385
977	16399	368
978	16414	352
979	16430	335
980	16445	318
981	16458	301
982	16473	284
983	16485	268
984	16508	251
985	16528	234
986	16541	217
987	16554	201
988	16568	184
989	16582	167
990	16598	150
991	16616	134
992	16632	117
993	16648	100
994	16665	83
995	16689	67
996	16702	50
997	16717	33
998	16739	16
999	16758	0
